generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
stable_diffusion_v_1_4,66.21666666666667,86.7994586818315,87.37545277777777,34.949999999999996,65.05000000000001,2.5166666666666657,97.48333333333333,RP4_semantic_residual,Semantic + residual
stable_diffusion_v_1_5,66.35625,87.26664939208236,87.59685937500001,35.075,64.925,2.362499999999997,97.6375,RP4_semantic_residual,Semantic + residual
stargan,99.2496248124062,99.9949199248647,99.99491992119121,100.0,0.0,1.500750375187593,98.4992496248124,RP4_semantic_residual,Semantic + residual
stylegan,92.93940911367051,99.7921053870213,99.78927942350292,86.11250208646302,13.887497913536976,0.23368385912201006,99.76631614087799,RP4_semantic_residual,Semantic + residual
stylegan2,89.5906359539309,99.7467191359909,99.75475544312964,79.36905358037055,20.630946419629453,0.18778167250876265,99.81221832749124,RP4_semantic_residual,Semantic + residual
whichfaceisreal,90.95,97.88328572896712,97.56240000000001,92.7,7.299999999999997,10.799999999999997,89.2,RP4_semantic_residual,Semantic + residual
wukong,66.125,87.00138765662025,87.00111527777777,34.78333333333333,65.21666666666667,2.5333333333333314,97.46666666666667,RP4_semantic_residual,Semantic + residual
ADM,94.025,98.60239583077363,98.4449861111111,92.0,8.0,3.950000000000003,96.05,RP6_gamma_scale_0p00,Gamma scale 0.00
DALLE2,92.4,97.48889707034265,97.4928,92.60000000000001,7.3999999999999915,7.799999999999997,92.2,RP6_gamma_scale_0p00,Gamma scale 0.00
Glide,96.3,99.2262556164347,99.28493888888889,96.61666666666666,3.38333333333334,4.016666666666666,95.98333333333333,RP6_gamma_scale_0p00,Gamma scale 0.00
Midjourney,87.48333333333333,96.13880456337401,96.6818138888889,79.26666666666667,20.733333333333334,4.299999999999997,95.7,RP6_gamma_scale_0p00,Gamma scale 0.00
VQDM,91.24166666666666,97.98441362689306,97.89257222222221,86.41666666666666,13.583333333333343,3.933333333333337,96.06666666666666,RP6_gamma_scale_0p00,Gamma scale 0.00
biggan,92.25,99.5708327437297,99.53852499999999,99.4,0.5999999999999943,14.900000000000006,85.1,RP6_gamma_scale_0p00,Gamma scale 0.00
