alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,description,family,flip_rate,gamma,mean_score_drift,overall_ba,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.25,0.30000000000000004,0.1875,0.3,0.24999999999999994,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS2_alpha_high_pos_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS2_alpha_high_pos_scale_1p00,100.0
0.0,0.25,0.5,0.1875,0.3,0.24999999999999994,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS2_alpha_high_pos_scale_1p25,100.0
0.0,0.25,0.6000000000000001,0.1875,0.3,0.5000000000000001,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS2_alpha_high_pos_scale_1p50,100.0
0.0,0.0,0.4,0.1875,0.3,1.0,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS3_alpha_high_neg_guard_scale_0p00,100.0
0.0,0.0625,0.4,0.1875,0.3,0.75,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS3_alpha_high_neg_guard_scale_0p25,100.0
0.0,0.125,0.4,0.1875,0.3,0.5,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS3_alpha_high_neg_guard_scale_0p50,100.0
0.0,0.1875,0.4,0.1875,0.3,0.25,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS3_alpha_high_neg_guard_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS3_alpha_high_neg_guard_scale_1p00,100.0
0.0,0.3125,0.4,0.1875,0.3,0.25,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS3_alpha_high_neg_guard_scale_1p25,100.0
0.0,0.375,0.4,0.1875,0.3,0.5,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS3_alpha_high_neg_guard_scale_1p50,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS4_alpha_high_neg_direct_0p00,100.0
0.02,0.25,0.4,0.1875,0.3,0.08,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.02,AS4_alpha_high_neg_direct_0p02,100.0
0.05,0.25,0.4,0.1875,0.3,0.2,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.05,AS4_alpha_high_neg_direct_0p05,100.0
0.1,0.25,0.4,0.1875,0.3,0.4,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.1,AS4_alpha_high_neg_direct_0p10,100.0
0.15,0.25,0.4,0.1875,0.3,0.6,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.15,AS4_alpha_high_neg_direct_0p15,100.0
0.2,0.25,0.4,0.1875,0.3,0.8,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.2,AS4_alpha_high_neg_direct_0p20,100.0
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,Drop tile artifact beta contribution.,drop_weight,0.0,0.21,0.00018062791787087917,100.0,D0_no_tile_weight,1.0,none,1.0,1.0,False,0.5,0.0,0.0,D0_no_tile_weight,100.0
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,Drop semantic positive contribution.,drop_weight,0.0007,0.21,0.01146493200212717,99.93,D1_no_semantic_pos_weight,1.0,none,1.0,0.0,False,0.5,1.0,0.0,D1_no_semantic_pos_weight,97.20670391061452
0.0,0.0,0.4,0.0,0.3,2.0,0.25,Drop semantic negative contribution.,drop_weight,0.00315,0.21,0.02348616160452366,99.685,D2_no_semantic_neg_weight,1.0,none,0.0,1.0,False,0.5,1.0,0.0,D2_no_semantic_neg_weight,96.23188405797102
0.0,0.0,0.0,0.0,0.0,4.0,0.25,Drop all semantic contribution.,drop_weight,0.00385,0.21,0.034951090812683105,99.61500000000001,D3_no_semantic_weight,1.0,none,0.0,0.0,False,0.5,1.0,0.0,D3_no_semantic_weight,96.23188405797102
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,Drop residual gamma contribution.,drop_weight,0.00015,0.0,0.013495265506207943,99.985,D4_no_residual_weight,0.0,none,1.0,1.0,False,0.5,1.0,0.0,D4_no_residual_weight,98.93617021276596
