generator,acc,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,ap,auc,beta,description,f_acc,family,fnr,fpr,gamma,parameter,r_acc,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
stargan,99.87493746873437,0.0,0.25,0.4,0.1875,0.3,0.0,100.0,100.0,0.25,Source-only selected compact 4-scale fusion weights.,100.0,learnable_weight,0.0,0.25012506253126787,0.21,compact_selected,99.74987493746873,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
stylegan,99.34902353530295,0.0,0.25,0.4,0.1875,0.3,0.0,99.99820935479707,99.99820294621536,0.25,Source-only selected compact 4-scale fusion weights.,98.71473877482892,learnable_weight,1.2852612251710838,0.01669170422300681,0.21,compact_selected,99.983308295777,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
stylegan2,98.87956935403105,0.0,0.25,0.4,0.1875,0.3,0.0,99.99537859382099,99.99535325772835,0.25,Source-only selected compact 4-scale fusion weights.,97.78417626439659,learnable_weight,2.215823735603408,0.025037556334510214,0.21,compact_selected,99.97496244366549,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
whichfaceisreal,90.2,0.0,0.25,0.4,0.1875,0.3,0.0,97.45436924756699,97.0824,0.25,Source-only selected compact 4-scale fusion weights.,90.3,learnable_weight,9.700000000000003,9.899999999999991,0.21,compact_selected,90.10000000000001,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
wukong,87.61666666666666,0.0,0.25,0.4,0.1875,0.3,0.0,97.50111565340606,97.38930833333333,0.25,Source-only selected compact 4-scale fusion weights.,77.13333333333333,learnable_weight,22.866666666666674,1.9000000000000057,0.21,compact_selected,98.1,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
ADM,96.675,0.0,0.25,0.4,0.1875,0.3,1.0,99.74711478423932,99.72962222222222,0.0,Tile artifact beta scale.,94.3,one_factor_compact,5.700000000000003,0.9499999999999886,0.21,beta_scale,99.05000000000001,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
DALLE2,98.2,0.0,0.25,0.4,0.1875,0.3,1.0,99.87402995555273,99.8592,0.0,Tile artifact beta scale.,98.1,one_factor_compact,1.9000000000000057,1.7000000000000028,0.21,beta_scale,98.3,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
Glide,98.78333333333333,0.0,0.25,0.4,0.1875,0.3,1.0,99.8976234533256,99.90305000000001,0.0,Tile artifact beta scale.,98.4,one_factor_compact,1.5999999999999943,0.8333333333333286,0.21,beta_scale,99.16666666666667,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
Midjourney,94.41666666666667,0.0,0.25,0.4,0.1875,0.3,1.0,99.56232174697237,99.54833055555555,0.0,Tile artifact beta scale.,89.71666666666667,one_factor_compact,10.283333333333331,0.88333333333334,0.21,beta_scale,99.11666666666666,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
VQDM,93.45833333333333,0.0,0.25,0.4,0.1875,0.3,1.0,99.53997164562209,99.54543333333334,0.0,Tile artifact beta scale.,87.66666666666667,one_factor_compact,12.333333333333329,0.75,0.21,beta_scale,99.25,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
biggan,89.5,0.0,0.25,0.4,0.1875,0.3,1.0,99.1405503535554,99.07205,0.0,Tile artifact beta scale.,99.05000000000001,one_factor_compact,0.9499999999999886,20.049999999999997,0.21,beta_scale,79.95,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
coco_sdxl_nw,98.4,0.0,0.25,0.4,0.1875,0.3,1.0,99.85489036586446,99.856075,0.0,Tile artifact beta scale.,98.65,one_factor_compact,1.3499999999999943,1.8499999999999943,0.21,beta_scale,98.15,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
cyclegan,96.63133989401969,0.0,0.25,0.4,0.1875,0.3,1.0,99.82508776563873,99.83152258313702,0.0,Tile artifact beta scale.,99.92429977289932,one_factor_compact,0.07570022710068258,6.6616199848599535,0.21,beta_scale,93.33838001514005,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
gaugan,83.6,0.0,0.25,0.4,0.1875,0.3,1.0,99.54307571761656,99.613772,0.0,Tile artifact beta scale.,100.0,one_factor_compact,0.0,32.8,0.21,beta_scale,67.2,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
progan,99.9875,0.0,0.25,0.4,0.1875,0.3,1.0,99.99999375156212,99.99999375,0.0,Tile artifact beta scale.,100.0,one_factor_compact,0.0,0.024999999999991473,0.21,beta_scale,99.97500000000001,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
stable_diffusion_v_1_4,89.325,0.0,0.25,0.4,0.1875,0.3,1.0,98.71090214882221,98.70248055555557,0.0,Tile artifact beta scale.,79.43333333333334,one_factor_compact,20.566666666666663,0.7833333333333314,0.21,beta_scale,99.21666666666667,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
stable_diffusion_v_1_5,89.4125,0.0,0.25,0.4,0.1875,0.3,1.0,98.83669763214672,98.7530890625,0.0,Tile artifact beta scale.,79.57499999999999,one_factor_compact,20.42500000000001,0.75,0.21,beta_scale,99.25,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
stargan,99.87493746873437,0.0,0.25,0.4,0.1875,0.3,1.0,100.0,100.0,0.0,Tile artifact beta scale.,100.0,one_factor_compact,0.0,0.25012506253126787,0.21,beta_scale,99.74987493746873,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
stylegan,99.24887330996495,0.0,0.25,0.4,0.1875,0.3,1.0,99.99797369553339,99.99796891130386,0.0,Tile artifact beta scale.,98.51443832415289,one_factor_compact,1.4855616758471086,0.01669170422300681,0.21,beta_scale,99.983308295777,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
stylegan2,98.77941912869304,0.0,0.25,0.4,0.1875,0.3,1.0,99.9948289085453,99.99481100719683,0.0,Tile artifact beta scale.,97.58387581372058,one_factor_compact,2.4161241862794185,0.025037556334510214,0.21,beta_scale,99.97496244366549,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
whichfaceisreal,87.94999999999999,0.0,0.25,0.4,0.1875,0.3,1.0,96.08624945865539,95.52890000000001,0.0,Tile artifact beta scale.,84.89999999999999,one_factor_compact,15.100000000000009,9.0,0.21,beta_scale,91.0,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
wukong,83.15,0.0,0.25,0.4,0.1875,0.3,1.0,97.71070774469224,97.64605277777778,0.0,Tile artifact beta scale.,67.21666666666667,one_factor_compact,32.78333333333333,0.9166666666666714,0.21,beta_scale,99.08333333333333,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
ADM,96.65,0.0,0.25,0.4,0.1875,0.3,0.75,99.70596937412101,99.68393888888889,0.0625,Tile artifact beta scale.,94.45,one_factor_compact,5.549999999999997,1.1499999999999915,0.21,beta_scale,98.85000000000001,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
DALLE2,98.4,0.0,0.25,0.4,0.1875,0.3,0.75,99.87313502814573,99.8574,0.0625,Tile artifact beta scale.,98.5,one_factor_compact,1.5,1.7000000000000028,0.21,beta_scale,98.3,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
Glide,98.68333333333334,0.0,0.25,0.4,0.1875,0.3,0.75,99.88891735335265,99.89231388888888,0.0625,Tile artifact beta scale.,98.43333333333332,one_factor_compact,1.566666666666677,1.066666666666677,0.21,beta_scale,98.93333333333332,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
Midjourney,95.38333333333333,0.0,0.25,0.4,0.1875,0.3,0.75,99.5931322422239,99.57651111111112,0.0625,Tile artifact beta scale.,91.81666666666666,one_factor_compact,8.183333333333337,1.0499999999999972,0.21,beta_scale,98.95,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
VQDM,93.40833333333333,0.0,0.25,0.4,0.1875,0.3,0.75,99.45874957745595,99.46247777777778,0.0625,Tile artifact beta scale.,87.85,one_factor_compact,12.150000000000006,1.0333333333333314,0.21,beta_scale,98.96666666666667,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
biggan,89.47500000000001,0.0,0.25,0.4,0.1875,0.3,0.75,99.176342603999,99.113975,0.0625,Tile artifact beta scale.,99.1,one_factor_compact,0.9000000000000057,20.150000000000006,0.21,beta_scale,79.85,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
coco_sdxl_nw,98.475,0.0,0.25,0.4,0.1875,0.3,0.75,99.88481645279269,99.8856,0.0625,Tile artifact beta scale.,99.05000000000001,one_factor_compact,0.9499999999999886,2.1000000000000085,0.21,beta_scale,97.89999999999999,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
cyclegan,96.59348978046934,0.0,0.25,0.4,0.1875,0.3,0.75,99.82737450302801,99.83387209813408,0.0625,Tile artifact beta scale.,99.92429977289932,one_factor_compact,0.07570022710068258,6.737320211960636,0.21,beta_scale,93.26267978803936,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
gaugan,83.34,0.0,0.25,0.4,0.1875,0.3,0.75,99.53541815969474,99.60615,0.0625,Tile artifact beta scale.,100.0,one_factor_compact,0.0,33.32000000000001,0.21,beta_scale,66.67999999999999,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
