alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,description,diffusion_text_f_acc,family,gamma,gan_face_translation_acc,gaugan_r_acc,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant
0.0,0.25,0.4,0.046875,0.3,0.75,0.25,62.9,Low-resolution semantic negative alpha.,95.76249999999999,one_factor_alpha_split,0.21,92.0461653913378,47.52,alpha_low_neg_scale,1.0,none,1.0,1.0,95.24652777777779,False,0.5,1.0,0.25,AS1_alpha_low_neg_scale_0p25
0.0,0.25,0.4,0.09375,0.3,0.5,0.25,69.1,Low-resolution semantic negative alpha.,94.64675925925926,one_factor_alpha_split,0.21,93.0821412048266,54.14,alpha_low_neg_scale,1.0,none,1.0,1.0,94.02847222222222,False,0.5,1.0,0.5,AS1_alpha_low_neg_scale_0p50
0.0,0.25,0.4,0.140625,0.3,0.25,0.25,75.3,Low-resolution semantic negative alpha.,93.3537037037037,one_factor_alpha_split,0.21,93.99392567477332,60.040000000000006,alpha_low_neg_scale,1.0,none,1.0,1.0,92.71944444444445,False,0.5,1.0,0.75,AS1_alpha_low_neg_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Low-resolution semantic negative alpha.,92.01157407407408,one_factor_alpha_split,0.21,94.634671281511,65.66,alpha_low_neg_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,AS1_alpha_low_neg_scale_1p00
0.0,0.25,0.4,0.234375,0.3,0.25,0.25,82.75,Low-resolution semantic negative alpha.,90.52546296296296,one_factor_alpha_split,0.21,95.14402521328869,70.58,alpha_low_neg_scale,1.0,none,1.0,1.0,89.47152777777778,False,0.5,1.0,1.25,AS1_alpha_low_neg_scale_1p25
0.0,0.25,0.4,0.28125,0.3,0.5,0.25,85.7,Low-resolution semantic negative alpha.,88.92824074074073,one_factor_alpha_split,0.21,95.4979228321412,73.83999999999999,alpha_low_neg_scale,1.0,none,1.0,1.0,87.60902777777778,False,0.5,1.0,1.5,AS1_alpha_low_neg_scale_1p50
0.0,0.25,0.0,0.1875,0.3,1.0,0.25,79.35,High-resolution semantic positive alpha.,91.96527777777777,one_factor_alpha_split,0.21,92.072171281511,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.16458333333333,False,0.5,1.0,0.0,AS2_alpha_high_pos_scale_0p00
0.0,0.25,0.1,0.1875,0.3,0.7500000000000001,0.25,79.35,High-resolution semantic positive alpha.,91.9949074074074,one_factor_alpha_split,0.21,92.797171281511,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.1923611111111,False,0.5,1.0,0.25,AS2_alpha_high_pos_scale_0p25
0.0,0.25,0.2,0.1875,0.3,0.5,0.25,79.35,High-resolution semantic positive alpha.,92.00231481481482,one_factor_alpha_split,0.21,93.90342128151102,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.20347222222222,False,0.5,1.0,0.5,AS2_alpha_high_pos_scale_0p50
0.0,0.25,0.30000000000000004,0.1875,0.3,0.24999999999999994,0.25,79.35,High-resolution semantic positive alpha.,92.00416666666666,one_factor_alpha_split,0.21,94.434671281511,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.20625,False,0.5,1.0,0.75,AS2_alpha_high_pos_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,High-resolution semantic positive alpha.,92.01157407407408,one_factor_alpha_split,0.21,94.634671281511,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,AS2_alpha_high_pos_scale_1p00
0.0,0.25,0.5,0.1875,0.3,0.24999999999999994,0.25,79.35,High-resolution semantic positive alpha.,92.01898148148148,one_factor_alpha_split,0.21,94.728421281511,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.22847222222221,False,0.5,1.0,1.25,AS2_alpha_high_pos_scale_1p25
0.0,0.25,0.6000000000000001,0.1875,0.3,0.5000000000000001,0.25,79.35,High-resolution semantic positive alpha.,92.02083333333331,one_factor_alpha_split,0.21,94.715921281511,65.66,alpha_high_pos_scale,1.0,none,1.0,1.0,91.23124999999999,False,0.5,1.0,1.5,AS2_alpha_high_pos_scale_1p50
0.0,0.0,0.4,0.1875,0.3,1.0,0.25,79.35,High-resolution semantic negative guard alpha.,92.01712962962962,one_factor_alpha_split,0.21,94.384671281511,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.22569444444444,False,0.5,1.0,0.0,AS3_alpha_high_neg_guard_scale_0p00
