accepted,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,fake_brier,fake_logloss,fake_margin,gamma,real_brier,real_logloss,real_margin,residual_scale,semantic_neg_scale,semantic_pos_scale,source_ap,source_auc,source_ba,source_brier,source_flip_rate,source_logloss,source_margin,source_mean_score_drift,target_labels_used_for_selection,tile_scale,variant
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,1.25,0.15000000000000002,0.0006521668177469473,0.008790749900065151,5.7102895016461614,0.21,0.0003144508704463,0.0075122517563225655,5.711942801452801,1.75,1.0,0.75,99.99999699999998,99.999997,99.985,0.0004833088440966237,0.0002,0.008151500828193858,5.711116151549481,0.005651672370731831,False,0.75,b0p75_sp0p75_sn1p00_g1p75
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,1.5,0.15000000000000002,0.0005760324840576725,0.007242663904148925,6.063886573028192,0.24,0.00025188137643298593,0.00609216635562937,6.035060853242874,2.0,1.0,0.75,99.99999800009999,99.999998,99.985,0.00041395693024532927,0.0002,0.0066674151298891475,6.049473713135533,0.0069418661296367645,False,0.75,b0p75_sp0p75_sn1p00_g2p00
False,0.0,0.25,0.15000000000000002,0.1875,0.11249999999999999,1.0,0.15000000000000002,0.0017048917438745722,0.02333166432829136,4.295869656876475,0.09,0.0005897919112957452,0.0128795490769134,4.912033699684684,0.75,1.25,0.75,99.99999400059991,99.999994,99.985,0.001147341827585159,0.0002,0.018105606702602382,4.603951678280579,0.007204903289675713,False,0.75,b0p75_sp0p75_sn1p25_g0p75
False,0.0,0.25,0.15000000000000002,0.1875,0.11249999999999999,0.75,0.15000000000000002,0.0012283383702441756,0.01777588186510435,4.649466558262706,0.12,0.0004075973608898004,0.009901742363992537,5.235151759556494,1.0,1.25,0.75,99.99999699999998,99.999997,99.985,0.0008179678655669882,0.0002,0.013838812114548443,4.9423091589096,0.005919461604207754,False,0.75,b0p75_sp0p75_sn1p25_g1p00
False,0.0,0.25,0.15000000000000002,0.1875,0.11249999999999999,1.0,0.15000000000000002,0.0009428089464754176,0.013783229786292048,5.003063551745564,0.15,0.0002953928412385588,0.007717427017276945,5.55826982874684,1.25,1.25,0.75,99.99999699999998,99.999997,99.985,0.0006191008938569882,0.0002,0.010750328401784498,5.280666690246202,0.005138855893164873,False,0.75,b0p75_sp0p75_sn1p25_g1p25
False,0.0,0.25,0.15000000000000002,0.1875,0.11249999999999999,1.25,0.15000000000000002,0.000766023975640452,0.010896092273103565,5.3566603618972,0.18,0.0002241037113576671,0.006102855877951273,5.881387883947045,1.5,1.25,0.75,99.99999699999998,99.999997,99.985,0.0004950638434990596,0.0002,0.00849947407552742,5.619024122922123,0.005706969648599625,False,0.75,b0p75_sp0p75_sn1p25_g1p50
False,0.0,0.25,0.15000000000000002,0.1875,0.11249999999999999,1.5,0.15000000000000002,0.0006522195047216433,0.008791648850127882,5.7102573774129155,0.21,0.00017731897473594808,0.004898915409642151,6.204505966396257,1.75,1.25,0.75,99.99999699999998,99.999997,99.985,0.0004147692397287956,0.0002,0.006845282129885015,5.957381671904586,0.006909310817718506,False,0.75,b0p75_sp0p75_sn1p25_g1p75
False,0.0,0.25,0.15000000000000002,0.1875,0.11249999999999999,1.75,0.15000000000000002,0.000576056264483788,0.007243264542860695,6.063854448389635,0.24,0.00014564425850086696,0.00399249779916442,6.527624019640684,2.0,1.25,0.75,99.99999800009999,99.999998,99.985,0.00036085026149232743,0.0002,0.005617881171012557,6.2957392340151594,0.007947633042931557,False,0.75,b0p75_sp0p75_sn1p25_g2p00
False,0.0,0.30000000000000004,0.15000000000000002,0.22499999999999998,0.11249999999999999,1.25,0.15000000000000002,0.0017061570333150506,0.023336416617462358,4.295837532488257,0.09,0.0003241132602739028,0.008362593735738335,5.404596863465663,0.75,1.5,0.75,99.9999960002999,99.999996,99.985,0.0010151351467944767,0.0002,0.01584950517660035,4.85021719797696,0.009325225837528706,False,0.75,b0p75_sp0p75_sn1p50_g0p75
False,0.0,0.30000000000000004,0.15000000000000002,0.22499999999999998,0.11249999999999999,1.0,0.15000000000000002,0.0012289974114063106,0.017779204730191994,4.649434433922171,0.12,0.00023150921487942764,0.006456029702972104,5.727714919573628,1.0,1.5,0.75,99.99999699999998,99.999997,99.985,0.0007302533131428692,0.0002,0.012117617216582048,5.1885746767478995,0.007595054805278778,False,0.75,b0p75_sp0p75_sn1p50_g1p00
False,0.0,0.30000000000000004,0.15000000000000002,0.22499999999999998,0.11249999999999999,1.25,0.15000000000000002,0.0009431345294671615,0.013785514060026073,5.003031427202374,0.15,0.00017351390296801148,0.005056466924512738,6.05083295458965,1.25,1.5,0.75,99.99999699999998,99.999997,99.985,0.0005583242162175865,0.0002,0.009420990492269405,5.526932190896012,0.006435011513531208,False,0.75,b0p75_sp0p75_sn1p50_g1p25
False,0.0,0.30000000000000004,0.15000000000000002,0.22499999999999998,0.11249999999999999,1.5,0.15000000000000002,0.0007661787465447829,0.010897643464422655,5.3566282370202245,0.18,0.00013598110557324348,0.004020395556135862,6.3739510358907285,1.5,1.5,0.75,99.99999699999998,99.999997,99.985,0.0004510799260590131,0.0002,0.007459019510279259,5.8652896364554765,0.006723269820213318,False,0.75,b0p75_sp0p75_sn1p50_g1p50
False,0.0,0.30000000000000004,0.15000000000000002,0.22499999999999998,0.11249999999999999,1.75,0.15000000000000002,0.0006522911039381985,0.008792693210031568,5.710225252774358,0.21,0.000110896312996732,0.003246198977817028,6.697069092495367,1.75,1.5,0.75,99.99999699999998,99.999997,99.985,0.0003815937084674653,0.0002,0.006019446093924298,6.203647172634862,0.007716948166489601,False,0.75,b0p75_sp0p75_sn1p50_g1p75
False,0.0,0.30000000000000004,0.15000000000000002,0.22499999999999998,0.11249999999999999,2.0,0.15000000000000002,0.00057608877087216,0.007243963537376805,6.063822323870286,0.24,9.361616722873491e-05,0.002661825907917045,7.020187166064978,2.0,1.5,0.75,99.99999800009999,99.999998,99.985,0.0003348524690504475,0.0002,0.004952894722646925,6.542004744967632,0.008598203770816326,False,0.75,b0p75_sp0p75_sn1p50_g2p00
False,0.0,0.35000000000000003,0.15000000000000002,0.2625,0.11249999999999999,1.5,0.15000000000000002,0.0017077545532826147,0.023341816126307816,4.295805408088118,0.09,0.00019657492427251625,0.005509814440929903,5.897159990883526,0.75,1.75,0.75,99.99999699999998,99.999997,99.985,0.0009521647387775655,0.0002,0.014425815283618857,5.096482699485821,0.01071204338222742,False,0.75,b0p75_sp0p75_sn1p75_g0p75
False,0.0,0.35000000000000003,0.15000000000000002,0.2625,0.11249999999999999,1.25,0.15000000000000002,0.0012298523294620803,0.017783012070313763,4.649402309581637,0.12,0.0001458603815215822,0.0042779012048547675,6.220278069249354,1.0,1.75,0.75,99.99999699999998,99.999997,99.985,0.0006878563554918313,0.0002,0.011030456637584266,5.434840189415496,0.008662262000143528,False,0.75,b0p75_sp0p75_sn1p75_g1p00
False,0.0,0.35000000000000003,0.15000000000000002,0.2625,0.11249999999999999,1.5,0.15000000000000002,0.000943565535380164,0.013788147732853074,5.002999302945286,0.15,0.00011339062246437996,0.003371770636247359,6.543396119485423,1.25,1.75,0.75,99.99999699999998,99.999997,99.985,0.000528478078922272,0.0002,0.008579959184550215,5.773197711215355,0.00726140895858407,False,0.75,b0p75_sp0p75_sn1p75_g1p25
False,0.0,0.35000000000000003,0.15000000000000002,0.2625,0.11249999999999999,1.75,0.15000000000000002,0.0007663866469611135,0.01089943986192532,5.35659611281082,0.18,9.192000981975857e-05,0.002699234710891087,6.866514201209694,1.5,1.75,0.75,99.99999699999998,99.999997,99.985,0.0004291533283904361,0.0002,0.006799337286408202,6.111555157010257,0.007371023762971163,False,0.75,b0p75_sp0p75_sn1p75_g1p50
False,0.0,0.35000000000000003,0.15000000000000002,0.2625,0.11249999999999999,2.0,0.15000000000000002,0.0006523882693163473,0.008793906377700753,5.710193128159642,0.21,7.72761883594351e-05,0.0021951395856389605,7.189632255418226,1.75,1.75,0.75,99.99999699999998,99.999997,99.985,0.0003648322288378912,0.0002,0.0054945229816698565,6.449912691788934,0.00823277048766613,False,0.75,b0p75_sp0p75_sn1p75_g1p75
False,0.0,0.35000000000000003,0.15000000000000002,0.2625,0.11249999999999999,2.25,0.15000000000000002,0.0005761331933348533,0.00724477718843236,6.063790199827776,0.24,6.699266536415257e-05,0.0018133207785192547,7.5127503343999384,2.0,1.75,0.75,99.99999800009999,99.999998,99.985,0.00032156292934950296,0.0002,0.004529048983475806,6.788270267113857,0.009014837443828583,False,0.75,b0p75_sp0p75_sn1p75_g2p00
False,0.0,0.4,0.15000000000000002,0.3,0.11249999999999999,1.75,0.15000000000000002,0.001709747017024666,0.023347929496264033,4.295773283747583,0.09,0.00013212201519275217,0.0036990705446979127,6.389723156640586,0.75,2.0,0.75,99.99999699999998,99.999997,99.985,0.0009209345161087093,0.0002,0.013523500020480972,5.342748220194085,0.011600092053413391,False,0.75,b0p75_sp0p75_sn2p00_g0p75
False,0.0,0.4,0.15000000000000002,0.3,0.11249999999999999,1.5,0.15000000000000002,0.001230951299051076,0.017787363696981962,4.649370185098052,0.12,0.00010183371552311913,0.0028927584831141624,6.7128412328993905,1.0,2.0,0.75,99.99999699999998,99.999997,99.985,0.0006663925072870978,0.0002,0.010340061090048062,5.681105708998721,0.009344637393951416,False,0.75,b0p75_sp0p75_sn2p00_g1p00
False,0.0,0.4,0.15000000000000002,0.3,0.11249999999999999,1.75,0.15000000000000002,0.0009441325310289628,0.013791179424801306,5.002967178402096,0.15,8.20025207404686e-05,0.00229785212044116,7.035959287730977,1.25,2.0,0.75,99.99999699999998,99.999997,99.985,0.0005130675258847157,0.0002,0.008044515772621233,6.019463233066537,0.0077911424450576305,False,0.75,b0p75_sp0p75_sn2p00_g1p25
False,0.0,0.4,0.15000000000000002,0.3,0.11249999999999999,2.0,0.15000000000000002,0.0007666648100720492,0.010901518433212852,5.356563988410682,0.18,6.861010352962528e-05,0.0018547332322770042,7.359077367839962,1.5,2.0,0.75,99.99999699999998,99.999997,99.985,0.0004176374568008372,0.0002,0.006378125832744928,6.3578206781253215,0.00778600899502635,False,0.75,b0p75_sp0p75_sn2p00_g1p50
False,0.0,0.4,0.15000000000000002,0.3,0.11249999999999999,2.25,0.15000000000000002,0.0006525198394152306,0.00879531517444743,5.7101610038548705,0.21,5.929150905443103e-05,0.0015212722847792644,7.68219540390484,1.75,2.0,0.75,99.99999699999998,99.999997,99.985,0.00035590567423483084,0.0002,0.005158293729613347,6.696178203879856,0.00856419000774622,False,0.75,b0p75_sp0p75_sn2p00_g1p75
False,0.0,0.4,0.15000000000000002,0.3,0.11249999999999999,2.5,0.15000000000000002,0.0005761938450059383,0.007245724382845052,6.063758075070009,0.24,5.2618719661358314e-05,0.0012676001853736995,8.00531346591115,2.0,2.0,0.75,99.99999800009999,99.999998,99.985,0.00031440628233364825,0.0002,0.004256662284109375,7.034535770490579,0.009283374063670635,False,0.75,b0p75_sp0p75_sn2p00_g2p00
