generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
whichfaceisreal,90.2,97.46611104475701,97.09649999999999,90.3,9.700000000000003,9.899999999999991,90.10000000000001,AF3_no_texture,No texture
wukong,87.6,97.50204684966889,97.38993333333333,77.13333333333333,22.866666666666674,1.9333333333333371,98.06666666666666,AF3_no_texture,No texture
ADM,96.34166666666667,99.51999468248417,99.47655277777778,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,AF4_no_recompression,No recompression
DALLE2,98.15,99.8540930399765,99.834,98.8,1.2000000000000028,2.5,97.5,AF4_no_recompression,No recompression
Glide,98.39166666666667,99.84547509265495,99.84062777777778,98.53333333333333,1.4666666666666686,1.75,98.25,AF4_no_recompression,No recompression
Midjourney,97.21666666666667,99.63038423597489,99.60297777777778,96.26666666666667,3.7333333333333343,1.8333333333333286,98.16666666666667,AF4_no_recompression,No recompression
VQDM,93.40833333333333,99.08242283031625,99.07151666666667,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,AF4_no_recompression,No recompression
biggan,89.325,99.26910463215792,99.219925,99.3,0.7000000000000028,20.650000000000006,79.35,AF4_no_recompression,No recompression
coco_sdxl_nw,98.35000000000001,99.94171488512454,99.94155,99.7,0.29999999999999716,3.0,97.0,AF4_no_recompression,No recompression
cyclegan,96.63133989401969,99.83320476503484,99.83960262251718,100.0,0.0,6.737320211960636,93.26267978803936,AF4_no_recompression,No recompression
gaugan,82.82000000000001,99.50572055998389,99.577862,100.0,0.0,34.36,65.64,AF4_no_recompression,No recompression
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF4_no_recompression,No recompression
stable_diffusion_v_1_4,92.575,98.6251897437154,98.59299444444444,87.01666666666667,12.983333333333334,1.8666666666666742,98.13333333333333,AF4_no_recompression,No recompression
stable_diffusion_v_1_5,92.9,98.79152782515035,98.6846234375,87.625,12.375,1.8250000000000028,98.175,AF4_no_recompression,No recompression
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF4_no_recompression,No recompression
stylegan,99.34902353530295,99.99820918120315,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,AF4_no_recompression,No recompression
stylegan2,98.87956935403105,99.99538312252699,99.99535795932256,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,AF4_no_recompression,No recompression
whichfaceisreal,90.2,97.46611104475701,97.09649999999999,90.3,9.700000000000003,9.899999999999991,90.10000000000001,AF4_no_recompression,No recompression
wukong,87.6,97.50204684966889,97.38993333333333,77.13333333333333,22.866666666666674,1.9333333333333371,98.06666666666666,AF4_no_recompression,No recompression
ADM,96.34166666666667,99.51999468248417,99.47655277777778,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,AF5_no_residual_spectrum,No residual spectrum
DALLE2,98.15,99.8540930399765,99.834,98.8,1.2000000000000028,2.5,97.5,AF5_no_residual_spectrum,No residual spectrum
Glide,98.39166666666667,99.84547509265495,99.84062777777778,98.53333333333333,1.4666666666666686,1.75,98.25,AF5_no_residual_spectrum,No residual spectrum
Midjourney,97.21666666666667,99.63038423597489,99.60297777777778,96.26666666666667,3.7333333333333343,1.8333333333333286,98.16666666666667,AF5_no_residual_spectrum,No residual spectrum
VQDM,93.40833333333333,99.08242283031625,99.07151666666667,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,AF5_no_residual_spectrum,No residual spectrum
biggan,89.325,99.26910463215792,99.219925,99.3,0.7000000000000028,20.650000000000006,79.35,AF5_no_residual_spectrum,No residual spectrum
coco_sdxl_nw,98.35000000000001,99.94171488512454,99.94155,99.7,0.29999999999999716,3.0,97.0,AF5_no_residual_spectrum,No residual spectrum
cyclegan,96.63133989401969,99.83320476503484,99.83960262251718,100.0,0.0,6.737320211960636,93.26267978803936,AF5_no_residual_spectrum,No residual spectrum
gaugan,82.82000000000001,99.50572055998389,99.577862,100.0,0.0,34.36,65.64,AF5_no_residual_spectrum,No residual spectrum
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF5_no_residual_spectrum,No residual spectrum
stable_diffusion_v_1_4,92.575,98.6251897437154,98.59299444444444,87.01666666666667,12.983333333333334,1.8666666666666742,98.13333333333333,AF5_no_residual_spectrum,No residual spectrum
stable_diffusion_v_1_5,92.9,98.79152782515035,98.6846234375,87.625,12.375,1.8250000000000028,98.175,AF5_no_residual_spectrum,No residual spectrum
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF5_no_residual_spectrum,No residual spectrum
stylegan,99.34902353530295,99.99820918120315,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,AF5_no_residual_spectrum,No residual spectrum
stylegan2,98.87956935403105,99.99538312252699,99.99535795932256,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,AF5_no_residual_spectrum,No residual spectrum
whichfaceisreal,90.2,97.46611104475701,97.09649999999999,90.3,9.700000000000003,9.899999999999991,90.10000000000001,AF5_no_residual_spectrum,No residual spectrum
wukong,87.6,97.50204684966889,97.38993333333333,77.13333333333333,22.866666666666674,1.9333333333333371,98.06666666666666,AF5_no_residual_spectrum,No residual spectrum
ADM,96.34166666666667,99.51999468248417,99.47655277777778,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,AF6_no_residual_tail,No residual tail
DALLE2,98.15,99.8540930399765,99.834,98.8,1.2000000000000028,2.5,97.5,AF6_no_residual_tail,No residual tail
Glide,98.39166666666667,99.84547509265495,99.84062777777778,98.53333333333333,1.4666666666666686,1.75,98.25,AF6_no_residual_tail,No residual tail
Midjourney,97.21666666666667,99.63038423597489,99.60297777777778,96.26666666666667,3.7333333333333343,1.8333333333333286,98.16666666666667,AF6_no_residual_tail,No residual tail
VQDM,93.40833333333333,99.08242283031625,99.07151666666667,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,AF6_no_residual_tail,No residual tail
biggan,89.325,99.26910463215792,99.219925,99.3,0.7000000000000028,20.650000000000006,79.35,AF6_no_residual_tail,No residual tail
coco_sdxl_nw,98.35000000000001,99.94171488512454,99.94155,99.7,0.29999999999999716,3.0,97.0,AF6_no_residual_tail,No residual tail
cyclegan,96.63133989401969,99.83320476503484,99.83960262251718,100.0,0.0,6.737320211960636,93.26267978803936,AF6_no_residual_tail,No residual tail
gaugan,82.82000000000001,99.50572055998389,99.577862,100.0,0.0,34.36,65.64,AF6_no_residual_tail,No residual tail
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF6_no_residual_tail,No residual tail
stable_diffusion_v_1_4,92.575,98.6251897437154,98.59299444444444,87.01666666666667,12.983333333333334,1.8666666666666742,98.13333333333333,AF6_no_residual_tail,No residual tail
stable_diffusion_v_1_5,92.9,98.79152782515035,98.6846234375,87.625,12.375,1.8250000000000028,98.175,AF6_no_residual_tail,No residual tail
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF6_no_residual_tail,No residual tail
stylegan,99.34902353530295,99.99820918120315,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,AF6_no_residual_tail,No residual tail
stylegan2,98.87956935403105,99.99538312252699,99.99535795932256,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,AF6_no_residual_tail,No residual tail
whichfaceisreal,90.2,97.46611104475701,97.09649999999999,90.3,9.700000000000003,9.899999999999991,90.10000000000001,AF6_no_residual_tail,No residual tail
wukong,87.6,97.50204684966889,97.38993333333333,77.13333333333333,22.866666666666674,1.9333333333333371,98.06666666666666,AF6_no_residual_tail,No residual tail
ADM,96.34166666666667,99.51999468248417,99.47655277777778,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,AF7_no_patch_heterogeneity,No patch heterogeneity
DALLE2,98.15,99.8540930399765,99.834,98.8,1.2000000000000028,2.5,97.5,AF7_no_patch_heterogeneity,No patch heterogeneity
Glide,98.39166666666667,99.84547509265495,99.84062777777778,98.53333333333333,1.4666666666666686,1.75,98.25,AF7_no_patch_heterogeneity,No patch heterogeneity
Midjourney,97.21666666666667,99.63038423597489,99.60297777777778,96.26666666666667,3.7333333333333343,1.8333333333333286,98.16666666666667,AF7_no_patch_heterogeneity,No patch heterogeneity
VQDM,93.40833333333333,99.08242283031625,99.07151666666667,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,AF7_no_patch_heterogeneity,No patch heterogeneity
biggan,89.325,99.26910463215792,99.219925,99.3,0.7000000000000028,20.650000000000006,79.35,AF7_no_patch_heterogeneity,No patch heterogeneity
coco_sdxl_nw,98.35000000000001,99.94171488512454,99.94155,99.7,0.29999999999999716,3.0,97.0,AF7_no_patch_heterogeneity,No patch heterogeneity
cyclegan,96.63133989401969,99.83320476503484,99.83960262251718,100.0,0.0,6.737320211960636,93.26267978803936,AF7_no_patch_heterogeneity,No patch heterogeneity
gaugan,82.82000000000001,99.50572055998389,99.577862,100.0,0.0,34.36,65.64,AF7_no_patch_heterogeneity,No patch heterogeneity
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF7_no_patch_heterogeneity,No patch heterogeneity
stable_diffusion_v_1_4,92.575,98.6251897437154,98.59299444444444,87.01666666666667,12.983333333333334,1.8666666666666742,98.13333333333333,AF7_no_patch_heterogeneity,No patch heterogeneity
stable_diffusion_v_1_5,92.9,98.79152782515035,98.6846234375,87.625,12.375,1.8250000000000028,98.175,AF7_no_patch_heterogeneity,No patch heterogeneity
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF7_no_patch_heterogeneity,No patch heterogeneity
stylegan,99.34902353530295,99.99820918120315,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,AF7_no_patch_heterogeneity,No patch heterogeneity
stylegan2,98.87956935403105,99.99538312252699,99.99535795932256,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,AF7_no_patch_heterogeneity,No patch heterogeneity
whichfaceisreal,90.2,97.46611104475701,97.09649999999999,90.3,9.700000000000003,9.899999999999991,90.10000000000001,AF7_no_patch_heterogeneity,No patch heterogeneity
wukong,87.6,97.50204684966889,97.38993333333333,77.13333333333333,22.866666666666674,1.9333333333333371,98.06666666666666,AF7_no_patch_heterogeneity,No patch heterogeneity
ADM,96.2,99.423402440686,99.37406666666668,94.69999999999999,5.300000000000011,2.299999999999997,97.7,AF8_codec_block_only,Codec/block only
DALLE2,97.8,99.84316747305951,99.819,98.8,1.2000000000000028,3.200000000000003,96.8,AF8_codec_block_only,Codec/block only
Glide,98.14166666666667,99.83314569635155,99.830175,98.65,1.3499999999999943,2.36666666666666,97.63333333333334,AF8_codec_block_only,Codec/block only
Midjourney,97.2,99.60895518539655,99.57541666666667,96.7,3.299999999999997,2.299999999999997,97.7,AF8_codec_block_only,Codec/block only
VQDM,93.74166666666667,99.01611206531425,99.00323333333333,89.78333333333333,10.216666666666669,2.299999999999997,97.7,AF8_codec_block_only,Codec/block only
biggan,88.85,99.28648357395495,99.24025,99.55000000000001,0.44999999999998863,21.85000000000001,78.14999999999999,AF8_codec_block_only,Codec/block only
coco_sdxl_nw,97.85000000000001,99.93745365316711,99.93645,99.8,0.20000000000000284,4.1000000000000085,95.89999999999999,AF8_codec_block_only,Codec/block only
cyclegan,96.21498864496594,99.82402774043436,99.83140797264936,100.0,0.0,7.57002271006813,92.42997728993187,AF8_codec_block_only,Codec/block only
gaugan,81.83,99.44897745081155,99.539722,100.0,0.0,36.339999999999996,63.660000000000004,AF8_codec_block_only,Codec/block only
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF8_codec_block_only,Codec/block only
stable_diffusion_v_1_4,92.79166666666666,98.4746368476932,98.40945555555555,87.78333333333333,12.216666666666669,2.200000000000003,97.8,AF8_codec_block_only,Codec/block only
stable_diffusion_v_1_5,92.9125,98.63874083035336,98.51800468750001,88.2,11.799999999999997,2.375,97.625,AF8_codec_block_only,Codec/block only
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF8_codec_block_only,Codec/block only
stylegan,99.44082790852946,99.99837287985434,99.99837011400928,98.89834752128192,1.10165247871808,0.01669170422300681,99.983308295777,AF8_codec_block_only,Codec/block only
stylegan2,99.05483224837256,99.99556084106521,99.99554445589266,98.13470205307962,1.8652979469203785,0.025037556334510214,99.97496244366549,AF8_codec_block_only,Codec/block only
whichfaceisreal,89.25,97.44319106444543,97.07090000000001,91.60000000000001,8.399999999999991,13.099999999999994,86.9,AF8_codec_block_only,Codec/block only
wukong,87.61666666666666,97.25227053194104,97.12598055555556,77.8,22.200000000000003,2.566666666666663,97.43333333333334,AF8_codec_block_only,Codec/block only
ADM,83.15833333333333,98.9062913642075,98.83131944444445,66.45,33.55,0.13333333333332575,99.86666666666667,AF9_spectrum_only,Spectrum only
DALLE2,84.55,98.99873804636637,98.8427,69.3,30.700000000000003,0.20000000000000284,99.8,AF9_spectrum_only,Spectrum only
Glide,90.9,99.4408364687404,99.3683861111111,81.93333333333334,18.066666666666663,0.13333333333332575,99.86666666666667,AF9_spectrum_only,Spectrum only
