generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
biggan,95.775,99.33611439684135,99.2465375,94.95,5.049999999999997,3.4000000000000057,96.6,A4_no_artifact,No artifact
coco_sdxl_nw,78.14999999999999,91.43265270022732,91.7986,61.199999999999996,38.800000000000004,4.900000000000006,95.1,A4_no_artifact,No artifact
cyclegan,98.37244511733535,99.82720104326009,99.80877240133613,99.5457986373959,0.4542013626040955,2.800908402725213,97.19909159727479,A4_no_artifact,No artifact
gaugan,95.3,99.95547247879917,99.956074,100.0,0.0,9.399999999999991,90.60000000000001,A4_no_artifact,No artifact
progan,99.9625,99.99996250468163,99.9999625,99.97500000000001,0.024999999999991473,0.04999999999999716,99.95,A4_no_artifact,No artifact
stable_diffusion_v_1_4,66.21666666666667,86.7994586818315,87.37545277777777,34.949999999999996,65.05000000000001,2.5166666666666657,97.48333333333333,A4_no_artifact,No artifact
stable_diffusion_v_1_5,66.35625,87.26664939208236,87.59685937500001,35.075,64.925,2.362499999999997,97.6375,A4_no_artifact,No artifact
stargan,99.2496248124062,99.9949199248647,99.99491992119121,100.0,0.0,1.500750375187593,98.4992496248124,A4_no_artifact,No artifact
stylegan,92.93940911367051,99.7921053870213,99.78927942350292,86.11250208646302,13.887497913536976,0.23368385912201006,99.76631614087799,A4_no_artifact,No artifact
stylegan2,89.5906359539309,99.7467191359909,99.75475544312964,79.36905358037055,20.630946419629453,0.18778167250876265,99.81221832749124,A4_no_artifact,No artifact
whichfaceisreal,90.95,97.88328572896712,97.56240000000001,92.7,7.299999999999997,10.799999999999997,89.2,A4_no_artifact,No artifact
wukong,66.125,87.00138765662025,87.00111527777777,34.78333333333333,65.21666666666667,2.5333333333333314,97.46666666666667,A4_no_artifact,No artifact
ADM,95.25833333333334,99.03142564860897,98.92312222222223,96.3,3.700000000000003,5.783333333333331,94.21666666666667,A5_no_semantic,No semantic
DALLE2,97.85000000000001,99.97031508605542,99.9679,99.7,0.29999999999999716,4.0,96.0,A5_no_semantic,No semantic
Glide,96.69166666666666,99.82448125028863,99.81533611111111,99.38333333333334,0.61666666666666,6.0,94.0,A5_no_semantic,No semantic
Midjourney,95.16666666666667,99.08100522472186,98.90513055555556,95.96666666666667,4.033333333333331,5.63333333333334,94.36666666666666,A5_no_semantic,No semantic
VQDM,93.81666666666668,98.52063354899586,98.60234583333335,93.43333333333334,6.566666666666663,5.800000000000011,94.19999999999999,A5_no_semantic,No semantic
biggan,77.67500000000001,92.00021450327905,92.3385,98.5,1.5,43.15,56.85,A5_no_semantic,No semantic
coco_sdxl_nw,97.175,99.91560828978446,99.910175,99.6,0.4000000000000057,5.25,94.75,A5_no_semantic,No semantic
cyclegan,89.25056775170326,95.34339932271962,96.05436204650779,97.9560938682816,2.0439061317184013,19.454958364875097,80.5450416351249,A5_no_semantic,No semantic
gaugan,68.75,71.9920014013461,76.538572,96.06,3.9399999999999977,58.56,41.44,A5_no_semantic,No semantic
progan,99.46249999999999,99.99223821610235,99.991975,99.75,0.25,0.8250000000000028,99.175,A5_no_semantic,No semantic
stable_diffusion_v_1_4,94.95,99.0826220963354,99.03906111111111,95.8,4.200000000000003,5.900000000000006,94.1,A5_no_semantic,No semantic
stable_diffusion_v_1_5,95.38125,99.21776206324844,99.12037343749999,96.1375,3.862499999999997,5.375,94.625,A5_no_semantic,No semantic
stargan,99.77488744372187,99.99992497496874,99.99992492494371,100.0,0.0,0.45022511255628217,99.54977488744372,A5_no_semantic,No semantic
stylegan,99.07361041562343,99.97655992160185,99.9761200806384,98.54782173259889,1.4521782674011092,0.4006009013520355,99.59939909864796,A5_no_semantic,No semantic
stylegan2,98.74812218327492,99.96067592231167,99.96002704607739,98.02203304957436,1.977966950425639,0.525788683024544,99.47421131697546,A5_no_semantic,No semantic
whichfaceisreal,67.7,80.35988767575422,80.66499999999999,46.7,53.3,11.299999999999997,88.7,A5_no_semantic,No semantic
wukong,90.83333333333333,97.47281863821766,97.32440277777778,87.43333333333332,12.566666666666677,5.766666666666666,94.23333333333333,A5_no_semantic,No semantic
ADM,94.025,98.60239583077363,98.4449861111111,92.0,8.0,3.950000000000003,96.05,A6_no_residual,No residual
DALLE2,92.4,97.48889707034265,97.4928,92.60000000000001,7.3999999999999915,7.799999999999997,92.2,A6_no_residual,No residual
Glide,96.3,99.2262556164347,99.28493888888889,96.61666666666666,3.38333333333334,4.016666666666666,95.98333333333333,A6_no_residual,No residual
Midjourney,87.48333333333333,96.13880456337401,96.6818138888889,79.26666666666667,20.733333333333334,4.299999999999997,95.7,A6_no_residual,No residual
VQDM,91.24166666666666,97.98441362689306,97.89257222222221,86.41666666666666,13.583333333333343,3.933333333333337,96.06666666666666,A6_no_residual,No residual
biggan,92.25,99.5708327437297,99.53852499999999,99.4,0.5999999999999943,14.900000000000006,85.1,A6_no_residual,No residual
coco_sdxl_nw,94.825,98.54465926910379,98.743475,97.39999999999999,2.6000000000000085,7.75,92.25,A6_no_residual,No residual
cyclegan,97.00984102952309,99.94383550474922,99.94160595653626,99.92429977289932,0.07570022710068258,5.904617713853142,94.09538228614686,A6_no_residual,No residual
gaugan,85.68,99.90993483542614,99.91423999999999,99.98,0.01999999999999602,28.620000000000005,71.38,A6_no_residual,No residual
progan,99.9625,99.99995624999062,99.99995625,99.97500000000001,0.024999999999991473,0.04999999999999716,99.95,A6_no_residual,No residual
stable_diffusion_v_1_4,75.25833333333334,90.0304744249018,90.08083194444444,54.48333333333333,45.51666666666667,3.9666666666666686,96.03333333333333,A6_no_residual,No residual
stable_diffusion_v_1_5,75.11250000000001,90.52488301368102,90.4996078125,54.125,45.875,3.9000000000000057,96.1,A6_no_residual,No residual
stargan,99.67483741870934,99.99952636816313,99.99952452464352,100.0,0.0,0.6503251625812823,99.34967483741872,A6_no_residual,No residual
stylegan,98.5812051410449,99.94682241828838,99.94584877928922,97.52962777499583,2.4703722250041693,0.3672174929060219,99.63278250709398,A6_no_residual,No residual
stylegan2,95.34927391086629,99.88811701425901,99.89152481852473,90.98647971957938,9.013520280420622,0.2879318978467751,99.71206810215322,A6_no_residual,No residual
whichfaceisreal,89.4,99.12389038415225,99.0864,99.5,0.5,20.700000000000003,79.3,A6_no_residual,No residual
wukong,75.925,90.80917442529467,90.76416666666667,55.766666666666666,44.233333333333334,3.9166666666666714,96.08333333333333,A6_no_residual,No residual
ADM,96.74166666666667,99.76850725258676,99.75027222222222,94.3,5.700000000000003,0.8166666666666629,99.18333333333334,A7_no_tile,No tile
DALLE2,98.2,99.87402995555273,99.8592,98.1,1.9000000000000057,1.7000000000000028,98.3,A7_no_tile,No tile
Glide,98.79166666666667,99.90265543485596,99.908,98.4,1.5999999999999943,0.8166666666666629,99.18333333333334,A7_no_tile,No tile
Midjourney,80.51666666666667,96.99976614382082,96.68200833333333,61.76666666666667,38.23333333333333,0.7333333333333343,99.26666666666667,A7_no_tile,No tile
VQDM,93.50833333333334,99.58072651195806,99.58174166666667,87.66666666666667,12.333333333333329,0.6499999999999915,99.35000000000001,A7_no_tile,No tile
biggan,89.5,99.1405503535554,99.07205,99.05000000000001,0.9499999999999886,20.049999999999997,79.95,A7_no_tile,No tile
coco_sdxl_nw,95.525,99.36113986882384,99.306475,92.9,7.099999999999994,1.8499999999999943,98.15,A7_no_tile,No tile
cyclegan,96.63133989401969,99.82508776563873,99.83152258313702,99.92429977289932,0.07570022710068258,6.6616199848599535,93.33838001514005,A7_no_tile,No tile
gaugan,83.6,99.54307571761656,99.613772,100.0,0.0,32.8,67.2,A7_no_tile,No tile
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,A7_no_tile,No tile
stable_diffusion_v_1_4,89.36666666666667,98.76045968443457,98.74902222222222,79.43333333333334,20.566666666666663,0.7000000000000028,99.3,A7_no_tile,No tile
stable_diffusion_v_1_5,89.45,98.90521926353514,98.8115421875,79.57499999999999,20.42500000000001,0.6749999999999972,99.325,A7_no_tile,No tile
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,A7_no_tile,No tile
stylegan,99.24887330996495,99.99797369553339,99.99796891130386,98.51443832415289,1.4855616758471086,0.01669170422300681,99.983308295777,A7_no_tile,No tile
stylegan2,98.77941912869304,99.9948289085453,99.99481100719683,97.58387581372058,2.4161241862794185,0.025037556334510214,99.97496244366549,A7_no_tile,No tile
whichfaceisreal,88.9,96.5132345965664,96.08149999999999,84.8,15.200000000000003,7.0,93.0,A7_no_tile,No tile
wukong,83.175,97.78365003056548,97.70822222222222,67.21666666666667,32.78333333333333,0.8666666666666742,99.13333333333333,A7_no_tile,No tile
ADM,96.34166666666667,99.51956888110576,99.47610555555556,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,A8_full,Full FreqPRISM
DALLE2,98.15,99.8560647653458,99.8359,98.8,1.2000000000000028,2.5,97.5,A8_full,Full FreqPRISM
Glide,98.38333333333334,99.84511579957446,99.84023055555555,98.53333333333333,1.4666666666666686,1.7666666666666657,98.23333333333333,A8_full,Full FreqPRISM
Midjourney,97.2,99.63461124917676,99.6067,96.23333333333333,3.7666666666666657,1.8333333333333286,98.16666666666667,A8_full,Full FreqPRISM
VQDM,93.40833333333333,99.08256864369835,99.07156388888889,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,A8_full,Full FreqPRISM
biggan,89.325,99.26843368313611,99.219275,99.3,0.7000000000000028,20.650000000000006,79.35,A8_full,Full FreqPRISM
coco_sdxl_nw,98.35000000000001,99.9416677829944,99.9414625,99.7,0.29999999999999716,3.0,97.0,A8_full,Full FreqPRISM
cyclegan,96.63133989401969,99.83309802712017,99.83948801202952,100.0,0.0,6.737320211960636,93.26267978803936,A8_full,Full FreqPRISM
gaugan,82.83,99.50537386675106,99.577634,100.0,0.0,34.34,65.66,A8_full,Full FreqPRISM
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,A8_full,Full FreqPRISM
stable_diffusion_v_1_4,92.55833333333334,98.62378111245272,98.59178055555556,87.0,13.0,1.88333333333334,98.11666666666666,A8_full,Full FreqPRISM
stable_diffusion_v_1_5,92.90625,98.79108529386482,98.6842328125,87.6375,12.362499999999997,1.8250000000000028,98.175,A8_full,Full FreqPRISM
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,A8_full,Full FreqPRISM
stylegan,99.34902353530295,99.99820935479707,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,A8_full,Full FreqPRISM
stylegan2,98.87956935403105,99.99537859382099,99.99535325772835,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,A8_full,Full FreqPRISM
whichfaceisreal,90.2,97.45436924756699,97.0824,90.3,9.700000000000003,9.899999999999991,90.10000000000001,A8_full,Full FreqPRISM
wukong,87.61666666666666,97.50111565340606,97.38930833333333,77.13333333333333,22.866666666666674,1.9000000000000057,98.1,A8_full,Full FreqPRISM
